Date Local,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2010-09,New Hampshire,762.6778759999993,1667.1999999999996,1284,1524,2.852,4.083999999999993,1140,3592,78.99192400000008,387.60000000000014,1248,310.0,39.378304,56.99999999999994,988,300.0
2010-09,New York,5430.062672000011,11835.600000000006,6284,11164,17.178616000000023,23.703999999999965,6472,21376,1223.8528099999992,2015.5999999999963,5306,1482.0,137.79825799999932,203.56399999999903,4122,1014.0
2010-09,North Carolina,2547.7583520000007,6320.0,3328,5952,8.311255999999993,13.176000000000009,2496,12824,170.87792000000016,496.80000000000024,2640,324.0,75.05031800000008,116.33199999999997,2196,590.0
2010-09,North Dakota,306.25799200000006,992.0,1380,936,2.2052759999999996,3.2319999999999958,1184,2748,9.252728000000003,24.600000000000012,932,0.0,15.898116,24.74799999999998,1140,108.0
2010-09,Oklahoma,880.0889999999999,2028.4,1696,1908,3.3453359999999983,5.312000000000007,1268,4632,39.89588999999999,142.9999999999999,1464,80.0,26.84292000000002,48.687999999999995,1036,254.0
2010-09,Oregon,1039.1190440000005,2080.0,1748,1956,1.6315040000000003,2.883999999999995,1304,2452,191.17774600000013,269.80000000000007,1490,156.0,40.32460199999996,69.39999999999999,1114,350.0
2010-09,Pennsylvania,9692.79314000003,20640.39999999999,12192,19332,25.685308000000024,41.68399999999993,10756,37984,2428.5078240000003,5284.800000000008,9832,4220.0,179.97233800000015,294.5339999999999,6456,1444.0
2010-09,South Carolina,53.23188399999999,148.0,384,148,1.1686640000000006,1.7079999999999997,356,1540,10.736936000000002,52.199999999999996,322,46.0,1.8294839999999997,3.600000000000002,140,16.0
2010-09,Tennessee,8.665215999999996,23.999999999999993,360,12,1.3933319999999996,1.6400000000000001,232,1896,23.332577999999998,50.59999999999999,316,30.0,4.715322000000001,6.844,208,32.0
2010-09,Texas,7570.3460359999945,17536.00000000005,8256,16328,17.181531999999997,28.551999999999957,6992,25384,773.6067380000002,1641.9999999999989,8326,1146.0,141.4917079999996,259.31199999999893,5498,1180.0
2010-09,Virginia,2265.7181359999995,4495.599999999996,2652,4160,8.326047999999995,11.627999999999998,2376,10720,380.98368600000003,1006.3999999999994,2416,820.0,35.732272000000016,60.200000000000045,1404,272.0
2010-10,Arizona,9211.299027999952,20272.799999999967,8972,19020,14.922048000000002,26.15200000000001,6056,22252,418.907082,826.6000000000018,5894,586.0,180.64986199999998,352.99999999999955,5690,1658.0
2010-10,Arkansas,6215.681183999993,15488.0,7296,14608,14.847983999999968,24.559999999999896,4912,22400,861.9807400000005,1214.7999999999988,4668,812.0,313.022204,419.2000000000003,4844,2208.0
2010-10,California,35453.16980999992,69239.59999999998,33346,64576,70.02084999999988,105.68200000000155,29454,90832,1573.9371700000013,3663.2000000000066,22390,2470.0,886.8706579999993,1511.2179999999905,21392,7144.0
2010-10,Colorado,1330.2653960000002,2628.0,1032,2480,1.8573200000000003,3.267999999999999,832,2760,90.86216200000007,301.59999999999997,738,258.0,26.814625999999976,49.20000000000001,790,238.0
2010-10,Connecticut,1789.4033039999986,3476.0,1816,3288,3.5947279999999933,5.071999999999997,2012,4296,174.61660999999998,495.40000000000003,2092,344.0,39.37049199999999,64.31999999999998,1628,304.0
2010-10,District Of Columbia,2077.848012,4132.0,1612,3908,2.6423319999999983,4.223999999999999,1308,3588,375.6129259999998,500.40000000000015,1174,378.0,114.778386,147.39999999999995,1194,792.0
2010-10,Florida,690.5353840000005,1728.0,1064,1636,3.440996000000003,5.2839999999999945,1028,4668,15.600321999999993,70.8,760,50.0,55.45217599999999,68.00000000000003,604,368.0
2010-10,Georgia,2305.476195999999,4964.0,2008,4692,2.410332000000001,5.468000000000001,1196,4760,133.34545000000003,551.6,1534,418.0,49.01833200000003,84.19000000000007,1004,430.0
2010-10,Idaho,1619.6884079999998,3640.0,2144,3444,2.5996080000000017,4.4439999999999955,1344,3776,86.14037599999996,171.00000000000006,1716,94.0,26.516666000000022,51.2,1102,228.0
2010-10,Illinois,5470.466116000005,10652.0,4672,10040,7.527363999999996,13.179999999999996,3528,11308,961.9417420000004,2192.799999999999,3974,1768.0,142.7909499999999,257.0999999999996,3444,1276.0
2010-10,Iowa,2297.718832000004,5000.4,3316,4672,5.5031720000000055,8.523999999999994,2392,7232,128.36502000000002,349.0,2732,210.0,59.87743000000004,111.54799999999999,2456,530.0
2010-10,Kansas,2121.8571519999996,4580.0,1580,4312,2.162492000000002,3.6679999999999935,1280,3104,578.035404,1203.3999999999996,1314,1006.0,51.510541999999965,103.40000000000009,1288,504.0
2010-10,Louisiana,1920.9180920000006,4476.0,1320,4228,3.9891840000000016,6.148000000000005,1156,5856,277.5717240000002,1519.9999999999995,1580,1336.0,28.241982000000004,49.66000000000002,820,224.0
2010-10,Maine,1297.0678999999996,2779.6,2528,2600,3.9527360000000002,5.383999999999991,2196,4552,160.14454400000005,398.4000000000001,2228,302.0,37.072008,57.89999999999992,2034,274.0
2010-10,Maryland,1763.612248,3548.0,1424,3344,2.3360919999999994,4.048,1144,3428,200.92790199999985,355.19999999999993,1502,236.0,62.033700000000046,94.0,1052,472.0
2010-10,Massachusetts,1812.8314920000016,3172.0,1524,2996,1.9148919999999992,2.7599999999999962,1276,2336,131.34415600000003,249.60000000000008,1418,144.0,30.026995999999997,45.787999999999975,1366,218.0
2010-10,New York,5557.086428000012,10215.599999999993,5744,9604,9.787296000000023,13.587999999999994,4268,11508,1037.0468280000005,1950.9999999999982,5164,1424.0,129.89646199999967,203.28999999999948,3952,1026.0
2010-10,North Carolina,3212.2717919999986,7296.0,3744,6864,5.907688000000006,10.832000000000008,2440,9392,154.21898000000004,339.19999999999965,2740,156.0,88.09120199999994,159.53399999999993,2620,788.0
2010-10,North Dakota,526.6276919999999,1652.0,1516,1556,2.4709999999999983,3.7079999999999966,1244,3140,29.394254000000004,48.80000000000001,1190,2.0,17.954821999999982,26.80199999999998,1134,120.0
2010-10,Oklahoma,1289.4647760000003,3277.2,2196,3088,4.120529999999997,6.934,1468,5984,106.30038999999998,361.0999999999999,1869,249.0,39.92071400000002,89.82800000000002,1478,398.0
2010-10,Oregon,1285.0691679999998,2364.0,1800,2232,1.8086679999999986,3.0279999999999987,1312,2572,212.684246,348.8000000000003,1098,266.0,52.41666600000001,93.19999999999999,1156,466.0
2010-10,Pennsylvania,11877.202475999999,24605.6,12960,23116,19.19471200000005,31.619999999999983,9988,26860,2691.827164000001,5565.000000000016,10740,4404.0,189.03106000000005,367.11199999999906,7754,1706.0
2010-10,South Carolina,238.35021600000022,624.0,932,596,3.3215279999999985,4.875999999999999,1020,4164,46.083589999999994,163.60000000000002,874,134.0,7.173036000000003,10.199999999999983,110,48.0
2010-10,Tennessee,78.66041200000004,232.80000000000004,1648,180,6.314088000000005,7.1240000000000006,1328,6996,143.353526,315.39999999999986,1190,218.0,18.050583999999997,21.117999999999988,948,102.0
2010-10,Texas,10865.800160000015,23489.20000000002,8616,21852,20.107960000000038,33.78000000000003,7460,30108,775.2591659999998,2830.799999999995,7526,2272.0,178.1430179999996,345.8939999999987,5922,1600.0
2010-10,Virginia,2453.137908000004,5129.600000000001,3184,4744,6.398396000000002,9.135999999999997,2376,7832,372.1117500000005,745.5999999999995,2990,510.0,56.72387600000001,91.45600000000007,2104,438.0
2010-11,Arizona,11647.706876000011,23413.599999999955,9680,22008,11.658499999999998,21.91600000000003,5768,18596,585.0386800000001,1221.000000000001,7890,884.0,260.566308,547.5999999999993,6580,2674.0
2010-11,Arkansas,5252.36100799999,11152.0,7296,10496,9.648703999999974,15.280000000000008,4560,12960,673.9287880000011,1026.0000000000014,4416,688.0,241.0579519999999,352.7999999999993,4400,1844.0
2010-11,California,43188.78368000005,78860.79999999986,34928,73804,53.86244399999997,86.0840000000003,27696,73028,1685.6016759999952,3834.4000000000074,23440,2564.0,1174.6901899999996,2202.233999999995,23356,10710.0
2010-11,Colorado,1129.9337880000003,1986.0,532,1878,0.8156959999999995,1.514000000000001,530,1284,100.02048700000002,266.00000000000006,603,232.0,21.670062,41.59999999999998,412,216.0
2010-11,Connecticut,2129.6262879999995,4196.0,2732,3960,5.316564000000007,6.795999999999991,2176,5760,219.45177400000009,482.20000000000005,2770,298.0,55.42488999999996,105.82000000000006,2408,510.0
2010-11,Country Of Mexico,1567.5815720000003,2717.599999999999,892,2528,0.8376680000000005,1.4160000000000006,684,1196,22.483232,51.199999999999996,788,18.0,86.01777599999997,172.4,686,844.0
2010-11,District Of Columbia,2410.924248,4408.0,1384,4172,2.0274959999999997,3.2719999999999985,1400,2772,420.33385000000015,535.4000000000001,1168,406.0,151.32863200000008,199.80000000000004,1294,1062.0
2010-11,Florida,863.7855079999996,1928.0,1748,1824,3.0816160000000012,4.5880000000000045,1236,3896,13.643404000000004,66.99999999999999,704,54.0,50.36991999999999,66.59999999999997,976,370.0
2010-11,Georgia,1648.1428560000006,3396.0,1796,3204,1.8118360000000004,3.5599999999999965,1168,3032,84.404222,195.40000000000003,1410,116.0,50.97971000000003,82.59000000000006,950,430.0
2010-11,Idaho,1311.3188440000001,2960.0,1644,2784,2.4316600000000004,3.5199999999999965,1324,2992,48.113632000000045,117.0,1520,56.0,26.17538400000002,47.79999999999998,1074,228.0
2010-11,Illinois,2552.4830159999974,4740.0,2188,4464,3.0246759999999986,4.891999999999995,1832,4160,305.964678,887.9999999999999,2250,722.0,70.21575399999998,109.84,1754,562.0
2010-11,Kansas,1479.5303119999992,2968.0,1556,2796,1.736008,2.7239999999999984,1232,2300,901.9247420000005,1253.3999999999996,1330,950.0,36.69093399999999,81.60000000000002,1228,402.0
2010-11,Louisiana,1740.7708639999978,3416.0,1344,3232,2.2653359999999987,3.815999999999996,1080,3228,172.58217799999997,507.8000000000001,1564,400.0,33.092833999999996,62.760000000000005,946,304.0
2010-11,Maine,1654.1284119999993,3433.0,2688,3203,4.3741149999999935,5.933000000000001,2422,5029,305.63796600000006,784.6000000000003,2447,608.0,57.28632799999997,100.62999999999997,2293,502.0
2010-11,Maryland,1534.2871679999996,3004.0,1372,2828,1.779916000000001,2.935999999999998,1016,2496,250.0320799999999,424.0000000000001,1310,302.0,52.30962200000002,99.00000000000001,1120,492.0
2010-11,Massachusetts,2227.580308,3756.0,1464,3544,1.729000000000002,2.635999999999999,1292,2224,264.07393399999995,515.0000000000001,1418,344.0,36.89794399999999,66.21199999999996,1486,326.0
2010-11,New York,4994.400736000005,8431.199999999992,4196,7952,6.829948000000003,9.087999999999996,3476,7716,1158.4906879999985,2452.200000000003,3920,1836.0,131.11437799999996,197.9199999999995,3366,998.0
2010-11,North Carolina,3689.8181839999993,7584.0,3624,7168,4.272976000000002,7.727999999999992,2680,6536,221.05950399999983,475.19999999999993,2428,268.0,98.43808399999999,195.99200000000008,2498,990.0
2010-11,North Dakota,758.5086919999999,1748.0,1156,1664,2.0877480000000004,2.9000000000000012,1484,2464,45.29254400000002,106.79999999999995,1164,48.0,19.674134000000002,29.36800000000001,970,136.0
2010-11,Oklahoma,1334.7958600000002,2859.2000000000003,3280,2664,6.456660000000004,8.635999999999985,2320,7320,183.44006599999992,418.6000000000002,3072,274.0,43.51804800000002,81.68000000000002,1936,414.0
2010-11,Oregon,1311.1720320000006,2584.0,1708,2440,1.599608,2.4759999999999995,1208,2104,184.84419200000005,310.80000000000007,1086,234.0,56.32477800000002,108.24000000000007,1222,554.0
2010-11,Pennsylvania,4109.538260000002,7145.800000000005,3076,6650,2.9236980000000012,4.84399999999999,2416,4098,489.4903980000002,1047.0000000000007,3030,744.0,83.68324100000002,158.55600000000013,2460,779.0
2010-11,Tennessee,99.13194400000002,254.7999999999998,1596,196,5.2065559999999955,5.776,1144,5044,107.16471600000003,222.4,884,136.0,18.346987999999996,21.22,912,102.0
2010-11,Texas,9136.943367999997,19095.20000000003,9074,17726,14.44806400000005,22.44400000000002,7044,19056,641.9443959999994,1845.1999999999978,7264,1384.0,167.70940899999977,340.33800000000093,6217,1625.0
2010-12,Arizona,13716.831047999996,23114.4,10004,21708,7.602728000000006,15.859999999999992,6308,13440,779.3851779999998,1488.9999999999982,8062,1074.0,340.5323820000001,667.5999999999999,6728,3264.0
2010-12,Arkansas,5813.960463999976,13008.0,6112,12304,8.878432000000005,12.96,5488,10976,770.6208079999982,1219.9999999999995,4612,836.0,205.1413120000001,302.80000000000075,3740,1588.0
2010-12,California,45328.68902800002,76585.19999999987,38476,71568,46.189775999999924,70.61200000000022,30472,59928,2142.0704339999998,4451.000000000017,24098,2998.0,1311.0666559999988,2362.1459999999943,27106,11634.0
2010-12,Colorado,2903.3639560000006,4996.0,1268,4716,1.6321879999999998,3.108000000000001,1348,2632,271.6682919999999,964.8,1352,860.0,52.79057799999998,98.6,1064,490.0
2010-12,Connecticut,2039.7296320000012,3504.0,2204,3316,5.448380000000002,6.479999999999989,2176,5504,372.5684819999999,753.1999999999999,2600,498.0,52.912636,78.38000000000002,1596,380.0
2010-12,Country Of Mexico,3191.9454960000035,5543.600000000002,1692,5208,1.2615039999999995,2.4999999999999973,1148,2124,568.6845940000001,1003.9999999999995,1682,812.0,255.11791,518.4000000000002,1356,2468.0
2010-12,District Of Columbia,2188.5867200000016,3564.0,1296,3368,2.4014840000000004,3.191999999999996,1276,2708,659.764278,1032.1999999999998,1402,788.0,85.12441000000005,111.4,934,598.0
2010-12,Florida,1112.6541279999992,2632.0,1376,2476,2.965524000000002,4.267999999999996,1148,3628,45.16299199999999,127.79999999999997,938,98.0,65.35678800000001,93.19999999999997,1116,498.0
2010-12,Georgia,2118.622516,3632.0,1516,3416,1.880567999999998,2.991999999999996,1224,2532,204.69415199999995,574.2000000000002,1496,434.0,46.05717999999999,76.766,1336,390.0
2010-12,Idaho,1854.6573520000002,3484.0,1448,3280,2.2155880000000026,3.2119999999999984,1296,2732,38.64865200000001,157.00000000000003,1262,104.0,31.719860000000022,55.80000000000004,1380,288.0
2010-12,Illinois,3559.2014499999996,5590.0,2186,5294,3.077013999999994,4.351999999999996,2010,3686,363.0137150000003,934.0000000000002,2067,742.0,75.357196,119.44000000000015,1624,636.0
2010-12,Kansas,584.6196039999999,959.2000000000003,396,900,0.2986679999999999,0.5200000000000002,348,436,212.159178,304.40000000000003,404,240.0,4.4873140000000005,12.199999999999998,294,60.0
2010-12,Louisiana,2173.6349040000014,4280.0,1488,4048,2.3547520000000013,3.651999999999999,1148,3100,253.56470199999998,782.0,1540,620.0,35.111046,74.84,1000,344.0
2010-12,Maine,1469.6051799999998,3032.8,2848,2816,4.878343999999999,6.124,2268,5200,335.39151000000004,706.0000000000001,1806,544.0,69.12777800000005,101.67999999999999,1902,530.0
2010-12,Maryland,1763.799996000001,3096.0,1312,2916,2.418331999999999,3.2919999999999963,1120,2784,490.4443679999998,763.8000000000003,1452,558.0,42.135790000000014,77.6,1074,370.0
2010-12,Massachusetts,2414.2545480000003,3764.0,1256,3548,1.820716,2.443999999999998,1256,2064,329.6169960000002,670.8000000000002,1502,484.0,38.90332600000001,73.05199999999996,1280,366.0
2010-12,Nevada,893.6866679999997,1457.1999999999998,396,1376,0.7291759999999997,1.1159999999999999,404,948,17.21742,47.0,400,26.0,11.586936000000007,31.860000000000014,460,126.0
2010-12,New York,5845.134088000012,8665.999999999996,4892,8184,7.952280000000003,9.808000000000003,3848,8308,2062.797331999999,3510.9999999999936,4128,2604.0,125.73153199999996,172.02799999999962,3306,858.0
2010-12,North Carolina,4229.865807999999,7416.0,3240,7008,3.8916799999999996,6.488,2272,5496,420.87888799999985,1047.5999999999997,3000,820.0,101.08860200000007,186.00599999999991,2092,922.0
2010-12,North Dakota,938.6488439999996,2320.0,1560,2184,3.176236000000002,3.8160000000000003,1436,3228,80.61457599999999,188.4,1510,112.0,22.374597999999985,31.613999999999987,1110,144.0
2010-12,Oklahoma,1230.499156000001,2462.800000000001,2424,2272,4.1115119999999985,5.51599999999999,1816,4692,184.2187839999999,445.5999999999998,2314,304.0,42.50177799999996,73.59999999999998,1674,338.0
2010-12,Oregon,1081.6803119999997,2160.0,1724,2036,2.1436960000000007,2.8920000000000003,1060,2444,64.47144600000004,190.59999999999997,932,142.0,36.21609599999999,62.07999999999999,1250,322.0
2010-12,Pennsylvania,4846.697572000002,7370.199999999998,3066,6840,3.768020000000006,5.167999999999991,2406,4366,753.3842459999994,1308.3999999999992,3016,942.0,79.74226400000005,121.50000000000007,2235,614.0
2010-12,Tennessee,182.87303600000018,402.3999999999999,1468,352,4.460755999999998,4.871999999999997,1212,4128,139.43213999999995,371.60000000000014,1070,258.0,21.754263999999985,24.581999999999976,906,122.0
2010-12,Texas,11864.649899999993,24240.400000000016,11392,22516,17.66229199999997,25.79999999999999,9424,21864,869.5747120000001,2641.3999999999987,9286,1966.0,223.8456479999994,484.7480000000005,7706,2238.0
2011-01,Arizona,8142.975507999999,13162.799999999981,5040,12376,4.260131999999994,9.632000000000001,3320,8172,343.60778599999975,800.7999999999998,4080,580.0,207.27960399999984,377.39399999999966,2908,1830.0
2011-01,Arkansas,5616.004223999991,11707.200000000004,5968,10816,10.07603199999995,14.304,4784,12144,957.2000879999994,1405.2000000000016,5800,880.0,229.34364400000015,308.79999999999984,4464,1608.0
