Date,STATE,Unnamed: 0,V1,POC,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,STATE_CODE
2016-03,Iowa,7397.521739130435,7397.521739130435,1.0,0.2869565217391303,3.0869565217391304,23.27173913043478,96.97826086956522,42101.0,19.0
2016-03,Kansas,8124.0,8124.0,1.0,0.29032258064516125,3.129032258064516,24.0,100.0,42101.0,20.0
2016-03,Kentucky,8762.333333333334,8762.333333333334,1.0,0.3333333333333334,3.6989247311827955,23.731182795698924,98.87096774193549,42101.0,21.0
2016-03,Louisiana,9615.5,9615.5,1.0,0.3903225806451612,4.290322580645161,23.532258064516128,98.04838709677419,42101.0,22.0
2016-03,Maine,10518.637362637362,10518.637362637362,1.0,0.25824175824175827,2.7252747252747254,22.615384615384617,94.21978021978022,42101.0,23.0
2016-03,Maryland,16416.2,16416.2,1.0,0.29032258064516103,3.1548387096774193,23.703225806451613,98.76129032258065,42101.0,24.0
2016-03,Massachusetts,18378.666666666668,18378.666666666668,1.0,0.3112903225806447,3.39247311827957,23.333333333333332,97.21505376344086,42101.0,25.0
2016-03,Michigan,21063.811538461538,21063.811538461538,1.0,0.4519230769230767,5.173076923076923,23.51153846153846,97.96538461538462,42101.0,26.0
2016-03,Minnesota,23883.54418604651,23883.54418604651,1.0,0.30325581395348866,3.3069767441860467,23.176744186046513,96.56279069767442,42101.0,27.0
2016-03,Mississippi,25307.0,25307.0,1.0,0.29354838709677417,3.129032258064516,23.774193548387096,99.06451612903226,42101.0,28.0
2016-03,Missouri,26006.1125,26006.1125,1.0,0.4037499999999999,4.675,23.225,96.775,42101.0,29.0
2016-03,Montana,26911.5,26911.5,3.0,0.18870967741935463,1.8870967741935485,23.79032258064516,99.12903225806451,42101.0,30.0
2016-03,Nebraska,27626.0,27626.0,1.0,0.4193548387096774,4.693548387096774,24.0,100.0,42101.0,31.0
2016-03,Nevada,29251.38497652582,29251.38497652582,1.0,0.4352112676056339,4.882629107981221,23.366197183098592,97.36619718309859,42101.0,32.0
2016-03,New Hampshire,30883.5,30883.5,1.0,0.2129032258064515,2.129032258064516,23.806451612903224,99.19354838709677,42101.0,33.0
2016-03,New Jersey,32698.0,32698.0,1.0,0.42741935483870974,4.817204301075269,23.838709677419356,99.33333333333333,42101.0,34.0
2016-03,New Mexico,34159.0,34159.0,1.0,0.32419354838709685,3.596774193548387,22.903225806451612,95.43548387096774,42101.0,35.0
2016-03,New York,36111.71062271062,36111.71062271062,1.0,0.3139194139194135,3.457875457875458,23.256410256410255,96.91208791208791,42101.0,36.0
2016-03,North Carolina,38087.0,38087.0,3.0,0.3290322580645163,3.661290322580645,23.629032258064516,98.45161290322581,42101.0,37.0
2016-03,North Dakota,38821.0,38821.0,1.0,0.2161290322580646,2.161290322580645,23.612903225806452,98.38709677419355,42101.0,38.0
2016-03,Ohio,41337.92807424594,41337.92807424594,1.0,0.3257540603248256,3.6009280742459397,23.605568445475637,98.36194895591647,42101.0,39.0
2016-03,Oklahoma,44597.5,44597.5,1.0,0.3677419354838709,4.185483870967742,23.774193548387096,99.06451612903226,42101.0,40.0
2016-03,Oregon,45653.0,45653.0,1.0,0.44354838709677386,5.080645161290323,23.887096774193548,99.53225806451613,42101.0,41.0
2016-03,Pennsylvania,47946.920118343194,47946.920118343194,1.0917159763313609,0.33668639053254457,3.831360946745562,23.78994082840237,99.1301775147929,42101.0,42.0
2016-03,Rhode Island,50301.0,50301.0,1.0,0.48709677419354824,5.451612903225806,23.225806451612904,96.7741935483871,42101.0,44.0
2016-03,South Carolina,76954.0,76954.0,1.0,0.2838709677419355,3.129032258064516,23.258064516129032,96.90322580645162,42101.0,45.0
